country,country,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr
ABW,ABW,1.0,2.5,2.5,0.0,0.0,128.34
AGO,AGO,2.2845303867403315,5.831491712707182,1.574585635359116,0.212707182320442,0.013812154696132596,117.12292817679558
AIA,AIA,2.0,2.0,2.0,2.0,0.0,265.0
ALB,ALB,1.0,2.3333333333333335,1.75,0.0,0.08333333333333333,84.35333333333334
AND,AND,1.2857142857142858,3.142857142857143,2.142857142857143,0.5714285714285714,0.0,202.65285714285713
ARE,ARE,1.3725490196078431,3.156862745098039,1.8235294117647058,0.39215686274509803,0.0,135.5649019607843
ARG,ARG,0.8644859813084113,2.2663551401869158,2.0093457943925235,0.14018691588785046,0.004672897196261682,117.76158878504673
ARM,ARM,1.125,2.25,1.875,0.375,0.0,99.9875
ASM,ASM,0.0,1.0,2.0,0.0,0.0,72.07
ATA,ATA,0.0,2.0,1.0,0.0,0.0,134.25
ATF,ATF,2.0,0.0,2.0,0.0,0.0,126.0
AUS,AUS,0.8145539906103286,2.1502347417840375,1.9248826291079812,0.09859154929577464,0.002347417840375587,116.77525821596245
AUT,AUT,0.9049881235154394,2.7695961995249405,1.9105304829770389,0.08471892319873317,0.0,106.23958036421219
AZE,AZE,1.3529411764705883,2.823529411764706,2.0588235294117645,0.47058823529411764,0.0,114.35588235294118
BDI,BDI,0.0,2.0,2.0,0.0,0.0,46.0
BEL,BEL,1.0486763450042698,2.6366353543979506,1.9590093936806148,0.1327924850555081,0.005123825789923143,113.84778394534587
BEN,BEN,0.3333333333333333,2.0,2.0,0.0,0.0,123.2
BFA,BFA,0.0,1.0,2.0,0.0,0.0,80.3
BGD,BGD,1.3333333333333333,2.5,2.3333333333333335,0.25,0.0,149.8025
BGR,BGR,1.0,2.506666666666667,1.8133333333333332,0.13333333333333333,0.0,111.89333333333333
BHR,BHR,0.8,2.4,1.8,0.6,0.0,145.32999999999998
BHS,BHS,2.0,5.0,2.0,0.0,0.0,50.85
BIH,BIH,1.0769230769230769,2.230769230769231,1.6153846153846154,0.0,0.0,110.76538461538462
BLR,BLR,1.0384615384615385,3.1153846153846154,1.5769230769230769,0.038461538461538464,0.0,103.31884615384615
BOL,BOL,1.0,2.0,1.8,0.0,0.0,115.0
BRA,BRA,1.0260791366906474,2.4626798561151078,2.0008992805755397,0.1767086330935252,0.01079136690647482,111.00533723021583
BRB,BRB,0.0,2.0,1.0,0.0,0.0,95.0
